student_code,adjustment_type,fee_type_code,amount,reason
FH-S003,discount,tuition,500000,Sibling discount
FH-S004,waiver,shuttle,0,No shuttle service
FH-S005,discount,tuition,400000,Sibling discount
FH-S006,discount,tuition,400000,Sibling discount
FH-S007,carry_over,previous_fees,600000,Prior balance
FH-S010,surcharge,materials,250000,Extra workbook set
FH-S011,waiver,uniform,0,Uniform purchased earlier
FH-S012,discount,tuition,300000,Early payment policy
FH-S014,surcharge,custom,200000,Late bus registration
FH-S015,discount,lunch,250000,Lunch scholarship
FH-S016,carry_over,previous_fees,450000,Prior balance
